No.,Time,Source,Destination,Protocol,Length,Info
11603.0,659.105521285,213.57.24.97,10.0.2.15,QUIC,1274.0,Protected Payload (KP0)
11604.0,659.106164412,213.57.24.97,10.0.2.15,QUIC,378.0,Protected Payload (KP0)
11605.0,659.106597527,213.57.24.97,10.0.2.15,QUIC,666.0,Protected Payload (KP0)
11606.0,659.106597637,213.57.24.97,10.0.2.15,QUIC,1274.0,Protected Payload (KP0)
11607.0,659.107194682,213.57.24.97,10.0.2.15,QUIC,1274.0,Protected Payload (KP0)
11608.0,659.10845285,213.57.24.97,10.0.2.15,QUIC,378.0,Protected Payload (KP0)
11609.0,659.108453165,213.57.24.97,10.0.2.15,QUIC,1274.0,Protected Payload (KP0)
11610.0,659.108989351,213.57.24.97,10.0.2.15,QUIC,1274.0,Protected Payload (KP0)
11611.0,659.108989435,213.57.24.97,10.0.2.15,QUIC,378.0,Protected Payload (KP0)
11612.0,659.110463949,213.57.24.97,10.0.2.15,QUIC,1274.0,Protected Payload (KP0)
11613.0,659.110464311,213.57.24.97,10.0.2.15,QUIC,1274.0,Protected Payload (KP0)
11614.0,659.110874934,213.57.24.97,10.0.2.15,QUIC,1274.0,Protected Payload (KP0)
11615.0,659.111261295,213.57.24.97,10.0.2.15,QUIC,1274.0,Protected Payload (KP0)
11616.0,659.112695232,213.57.24.97,10.0.2.15,QUIC,378.0,Protected Payload (KP0)
11617.0,659.112695583,213.57.24.97,10.0.2.15,QUIC,1274.0,Protected Payload (KP0)
11618.0,659.113696051,10.0.2.15,213.57.24.97,QUIC,78.0,"Protected Payload (KP0), DCID=9c8100010d81584d"
11619.0,659.114724774,213.57.24.97,10.0.2.15,QUIC,1274.0,Protected Payload (KP0)
11620.0,659.114725083,213.57.24.97,10.0.2.15,QUIC,1274.0,Protected Payload (KP0)
11621.0,659.115122779,213.57.24.97,10.0.2.15,QUIC,1274.0,Protected Payload (KP0)
11622.0,659.115508058,213.57.24.97,10.0.2.15,QUIC,410.0,Protected Payload (KP0)
11623.0,659.117197886,213.57.24.97,10.0.2.15,QUIC,1274.0,Protected Payload (KP0)
11624.0,659.117198424,213.57.24.97,10.0.2.15,QUIC,378.0,Protected Payload (KP0)
11625.0,659.119262767,213.57.24.97,10.0.2.15,QUIC,666.0,Protected Payload (KP0)
11626.0,659.119263283,213.57.24.97,10.0.2.15,QUIC,1274.0,Protected Payload (KP0)
11627.0,659.119772755,213.57.24.97,10.0.2.15,QUIC,1274.0,Protected Payload (KP0)
11628.0,659.121549482,213.57.24.97,10.0.2.15,QUIC,1274.0,Protected Payload (KP0)
11629.0,659.121549716,213.57.24.97,10.0.2.15,QUIC,378.0,Protected Payload (KP0)
11630.0,659.122438451,10.0.2.15,213.57.24.97,QUIC,77.0,"Protected Payload (KP0), DCID=9c8100010d81584d"
11631.0,659.123308385,213.57.24.97,10.0.2.15,QUIC,1146.0,Protected Payload (KP0)
11632.0,659.123308692,213.57.24.97,10.0.2.15,QUIC,1274.0,Protected Payload (KP0)
11633.0,659.124811962,213.57.24.97,10.0.2.15,QUIC,1274.0,Protected Payload (KP0)
11634.0,659.124812268,213.57.24.97,10.0.2.15,QUIC,378.0,Protected Payload (KP0)
11635.0,659.125137797,213.57.24.97,10.0.2.15,QUIC,1274.0,Protected Payload (KP0)
11636.0,659.126163705,10.0.2.15,213.57.24.97,QUIC,76.0,"Protected Payload (KP0), DCID=9c8100010d81584d"
11637.0,659.126596544,10.0.2.15,213.57.24.97,QUIC,78.0,"Protected Payload (KP0), DCID=9c8100010d81584d"
11638.0,659.126838402,213.57.24.97,10.0.2.15,QUIC,378.0,Protected Payload (KP0)
11639.0,659.127152414,213.57.24.97,10.0.2.15,QUIC,1274.0,Protected Payload (KP0)
11640.0,659.127566948,10.0.2.15,213.57.24.97,QUIC,79.0,"Protected Payload (KP0), DCID=9c8100010d81584d"
11641.0,659.127895745,10.0.2.15,213.57.24.97,QUIC,77.0,"Protected Payload (KP0), DCID=9c8100010d81584d"
11642.0,659.12872272,10.0.2.15,213.57.24.97,QUIC,78.0,"Protected Payload (KP0), DCID=9c8100010d81584d"
11643.0,659.129081005,10.0.2.15,213.57.24.97,QUIC,78.0,"Protected Payload (KP0), DCID=9c8100010d81584d"
11644.0,659.129363393,213.57.24.97,10.0.2.15,QUIC,1274.0,Protected Payload (KP0)
11645.0,659.129671432,213.57.24.97,10.0.2.15,QUIC,1274.0,Protected Payload (KP0)
11646.0,659.12998655,213.57.24.97,10.0.2.15,QUIC,1274.0,Protected Payload (KP0)
11647.0,659.130281586,213.57.24.97,10.0.2.15,QUIC,666.0,Protected Payload (KP0)
11648.0,659.130446313,10.0.2.15,213.57.24.97,QUIC,77.0,"Protected Payload (KP0), DCID=9c8100010d81584d"
11649.0,659.130853675,10.0.2.15,213.57.24.97,QUIC,78.0,"Protected Payload (KP0), DCID=9c8100010d81584d"
11650.0,659.131315143,213.57.24.97,10.0.2.15,QUIC,1274.0,Protected Payload (KP0)
11651.0,659.131464395,10.0.2.15,213.57.24.97,QUIC,84.0,"Protected Payload (KP0), DCID=9c8100010d81584d"
11652.0,659.13174555,213.57.24.97,10.0.2.15,QUIC,250.0,Protected Payload (KP0)
11653.0,659.132075783,213.57.24.97,10.0.2.15,QUIC,1274.0,Protected Payload (KP0)
11654.0,659.132185038,10.0.2.15,213.57.24.97,QUIC,77.0,"Protected Payload (KP0), DCID=9c8100010d81584d"
11655.0,659.132725471,10.0.2.15,213.57.24.97,QUIC,78.0,"Protected Payload (KP0), DCID=9c8100010d81584d"
11656.0,659.147615338,213.57.24.97,10.0.2.15,QUIC,1274.0,Protected Payload (KP0)
11657.0,659.147615695,213.57.24.97,10.0.2.15,QUIC,1274.0,Protected Payload (KP0)
11658.0,659.147615726,213.57.24.97,10.0.2.15,QUIC,538.0,Protected Payload (KP0)
